Time,Agent1_x,Agent1_y,Agent2_x,Agent2_y,Agent3_x,Agent3_y,Agent4_x,Agent4_y,Agent5_x,Agent5_y,Agent6_x,Agent6_y,Agent7_x,Agent7_y,Agent8_x,Agent8_y
0,14.6578773223675,5.65649481760519,18.3246961277944,7.61543264865367,3.38635643271562,7.97018036812957,14.920351102955,16.0727695521798,13.2281227059528,14.059167947089,-4.48850329163433,6.98265231378251,-14.7116526343712,15.8190843869308,-7.55334074773168,16.2267179113925
0.05,14.2611885362827,4.99859269974888,17.256629621629,7.51028249214101,2.25202831708622,7.59956301916587,13.2385930622294,14.4792523216993,12.4136004341701,12.3193116629538,-4.73430040540618,6.38573223775595,-14.6434011492974,14.5104932895059,-7.51459460165557,14.8964536766665
0.1,13.7098616521059,4.11101022030805,15.7956331460573,7.36568672678284,0.695387053472694,7.06738740050136,10.9640050076198,12.3050780062173,11.3123348738846,9.95989915563285,-5.06436339208185,5.56616937043937,-14.5498582055455,12.7382494491471,-7.46122421542658,13.0895471475211
0.15,13.0370286606995,3.05647570599291,14.0367844207896,7.19408318475845,-1.18959158128626,6.40001658720476,8.24508808433069,9.68146637470489,10.0003253746104,7.13303600123186,-5.45504811497222,4.57904671562221,-14.4366031094436,10.6260936138233,-7.39630190276787,10.9313539859212
0.2,12.274254252714,1.88621032218008,12.0692256883765,7.01093358054874,-3.3140218004916,5.623714461838,5.2199537857275,6.73168672842722,8.5479496118567,3.98051359441659,-5.88474252690677,3.47535134413061,-14.3088511039104,8.28040682074818,-7.32274688819719,8.52851788562408
0.25,11.451183332001,0.651152070085622,9.96635951135248,6.84058730892556,-5.59536241369175,4.76421004269127,2.01462679259671,3.56962774272418,7.01924302735983,0.632010223887405,-6.33410249510425,2.30131412461764,-14.1713774438116,5.79746128625656,-7.2432751060384,5.97781445737263
0.3,10.594828318131,-0.600141248459062,7.74983896043016,6.71133576321247,-7.95878597775748,3.84587938393142,-1.2585567767687,0.298101466762539,5.47098374377639,-2.79659654419442,-6.78619555414956,1.09796740484252,-14.0284638642427,3.2625296204429,-7.16036160761151,3.36521233121305
0.35,9.72923272839222,-1.8255420584984,5.44688522052131,6.59783232724547,-10.3379464424928,2.89128750290325,-4.5017653293472,-2.99211804378992,3.95229965485014,-6.20411603737664,-7.22656280396048,-0.0991009911715854,-13.8838654211251,0.749402647564203,-7.07621462523738,0.765345265130163
0.4,8.87521276042416,-2.98955106169197,3.12706151771999,6.48462495869898,-12.6754665740574,1.92079753222807,-7.6320496863641,-6.22285787143331,2.50447894390052,-9.50447751048618,-7.64320968347123,-1.25982074741826,-13.7407954772855,-1.67973340409832,-6.99276019297763,-1.75865319372613
0.45,8.05025841665705,-4.0632598941993,0.850269656419155,6.36716420384414,-14.9230882241663,0.952333562328569,-10.5812523782845,-9.32867003478179,1.16104503809875,-12.6266804032974,-8.02653651925732,-2.35956314981149,-13.6019264875761,-3.97411117801514,-6.91163612512555,-4.15500274470409
0.5,7.26829871552519,-5.02436721812073,-1.33305719943877,6.24525717283058,-17.0415682854519,0.00124402402053525,-13.2955569223006,-12.2566147717771,-0.051981559904011,-15.5143715029025,-8.36921961906975,-3.3789405209299,-13.4694041935825,-6.09393885401229,-6.83419409936788,-6.38286758583923
0.55,6.53879897762225,-5.85736072910245,-3.38354778826686,6.12064281763425,-19.0003512583237,-0.919736233415831,-15.7347325259359,-14.9657499814031,-1.1156593128873,-18.125105719841,-8.66605330112825,-4.30350470861639,-13.3448728616406,-8.00974892669375,-6.76150857688399,-8.41173536884601
0.6,5.86843940393924,-6.55153096324318,-5.27276112311472,5.9959014602883,-20.7770665105965,-1.80044541411862,-17.871145168245,-17.426390052231,-2.01758086326301,-20.4293628003771,-8.91376266800233,-5.12336730815083,-13.2295092767461,-9.70158656107864,-6.69439131088626,-10.2206312276767
0.65,5.26190030259457,-7.10045434000915,-6.98228936956182,5.87385336026761,-22.356889022091,-2.63318850790746,-19.6885947483885,-19.6191871276566,-2.7512390874474,-22.4093810909971,-9.11079619396987,-5.83276285241724,-13.1240633291515,-11.1580818799091,-6.63341024266968,-11.7972112689573
0.7,4.7224887468222,-7.50184885751466,-8.50468503220368,5.75760882315605,-23.7318019566334,-3.41257968658084,-21.1810353424259,-21.5340862954908,-3.31533509256594,-24.0578668336741,-9.25710633907292,-6.42957444512535,-13.0289031901078,-12.3754467856243,-6.57891165469188,-13.1367762678163
0.75,4.25229078677367,-7.75758155922383,-9.83848529298857,5.6495870403016,-24.8997950492274,-4.13534583325934,-22.3512289177583,-23.1692005607125,-3.71305498630157,-25.3766307527998,-9.35392547044006,-6.91483932981175,-12.9440632590123,-13.3564327161794,-6.53104453835148,-14.2412421959593
0.8,3.8518701225338,-7.87342141315291,-10.9870711178218,5.55148110011242,-25.8640294135314,-4.80010288613195,-23.2093770767408,-24.5296466977131,-3.95133911779698,-26.3751978591809,-9.40354339667794,-7.29224976504423,-12.8692932675948,-14.1092812506656,-6.489786235116,-15.1180997940071
0.85,3.51916357105449,-7.85812121917987,-11.9578642678785,5.46431105937868,-26.6319953561025,-5.40711533811526,-23.7717689971664,-25.6263776245389,-4.0401638538064,-27.0694299098753,-9.40909183493765,-7.56766238803476,-12.8041071400074,-14.6466948720481,-6.45496851901994,-15.7793908422065
0.9,3.24938596659376,-7.72221655834078,-12.7615412041955,5.38848857331609,-27.2146858836489,-5.958048016844,-24.059477520208,-26.4750415951474,-3.99185254434983,-27.4801936433768,-9.37434015900418,-7.74862705932736,-12.7478304239485,-14.9848505943123,-6.42630340231725,-16.2407242180432
0.95,3.03672727911839,-7.47773811010452,-13.4112814699826,5.32388927200972,-27.6258046748467,-6.45571797442282,-24.0971292207442,-27.0948931714223,-3.8204289849691,-27.6321016779341,-9.30350584247961,-7.84394404530067,-12.699645321412,-15.142474683607,-6.40340806072641,-16.5203503713383
1,2.87464659833957,-7.13769947453019,-13.922064555674,5.26992952883297,-27.8810235310369,-6.9038530594299,-23.9117684903517,-27.5077758180573,-3.54102354446728,-27.5523470311802,-9.20108213164313,-7.86325635827042,-12.6586325533657,-15.1399924411811,-6.38582838725211,-16.6383085923794
1.05,2.75508624464182,-6.71640154601612,-14.3100258671972,5.22564473140138,-27.9973007592018,-7.30686251903843,-23.531830236635,-27.7371911245899,-3.16933921339636,-27.2696466632105,-9.07168467164166,-7.81668217206992,-12.6238094866735,-14.9987630441992,-6.37306079150583,-16.6156574724834
1.1,2.67014544159158,-6.22757612571106,-14.5918792910595,5.1897666175931,-27.9922686429995,-7.66962381999304,-22.9862308403522,-27.8074651862545,-2.72118218610453,-26.8133043530669,-8.91991807728425,-7.71449049141928,-12.5941641307676,-14.7404058146595,-6.36457196277283,-16.4737953166614
1.15,2.61276235225346,-5.68416441475528,-14.7844110140655,5.16079767487918,-27.8836951601708,-7.99527184992754,-22.3035825622857,-27.7430186197092,-2.21205923715259,-26.2123986418866,-8.75026279240727,-7.56682169530381,-12.568684773708,-14.386221045401,-6.35981640824304,-16.2338740053074
1.2,2.5769295656351,-5.09849705444446,-14.9040467374991,5.1370810127244,-27.6890224367079,-8.28567115502236,-21.5115326888082,-27.5677430894065,-1.65684210607033,-25.4950975513299,-8.56698202296868,-7.3834532096998,-12.5463851708355,-13.9568548106941,-6.3582516617323,-15.9163069410638
1.25,2.55745447354564,-4.48246574928065,-14.9664922386336,5.11686450054875,-27.4249821049966,-8.5437567464653,-20.6362253621388,-27.3044840950467,-1.06949736607959,-24.6880983290598,-8.37404805941302,-7.17360939845263,-12.5263253234264,-13.4735849387256,-6.35935113216002,-15.5403692694653
1.3,2.54804508061782,-3.84728322127741,-14.9864453804199,5.09835831351577,-27.1072857599932,-8.77511612178509,-19.7018812568577,-26.9746271260016,-0.462878818661975,-23.816187584169,-8.1750869217861,-6.94581379233852,-12.5076279893949,-12.9555184452517,-6.36261462466609,-15.123886526828
